id,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,neighbourhood_cleansed,listing_id,polarity,price,minimum_nights,maximum_nights,host_is_superhost
974175025161200402,17,4.94,5.0,4.88,5.0,5.0,4.88,5.0,Minato Ku,9.741750251612004e+17,0.8357866666666667,"40,375.00",1,365,False
974177983011116386,2,4.5,4.0,4.5,4.5,4.5,4.0,4.0,Katsushika Ku,9.741779830111164e+17,0.6249,"10,620.00",1,60,False
974205992788996689,10,4.4,4.2,4.3,4.6,4.5,4.3,4.6,Taito Ku,9.742059927889967e+17,0.5788,"50,439.00",1,365,False
974209663245471950,16,5.0,4.94,5.0,4.5,4.94,4.81,5.0,Koto Ku,9.74209663245472e+17,0.78685,"3,143.00",1,365,False
974232505525179242,9,4.67,4.78,4.78,4.89,4.67,4.89,4.44,Sumida Ku,9.742325055251793e+17,0.6208142857142857,"36,286.00",1,90,False
974238283096277835,8,4.88,4.83,4.83,4.83,5.0,5.0,4.83,Shibuya Ku,9.742382830962779e+17,0.7519,"13,843.00",3,730,False
974279612018335310,3,4.33,4.0,4.0,4.67,4.33,3.67,4.67,Katsushika Ku,9.742796120183354e+17,0.9789,"10,620.00",1,60,False
974289709195465893,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Katsushika Ku,9.742897091954659e+17,0.8779,"10,620.00",1,60,False
974289851589674244,4,5.0,5.0,5.0,5.0,5.0,4.5,5.0,Katsushika Ku,9.742898515896742e+17,0.6214500000000001,"10,620.00",1,60,False
974444693364729147,16,4.94,5.0,5.0,5.0,5.0,4.94,4.81,Shibuya Ku,9.744446933647291e+17,0.8771749999999999,"36,857.00",2,365,True
974859133602417609,6,5.0,4.83,4.67,4.33,4.67,4.67,4.5,Sumida Ku,9.748591336024177e+17,0.45010000000000006,"100,000.00",1,365,True
974867725759338265,8,4.88,5.0,5.0,4.88,5.0,5.0,4.88,Sumida Ku,9.748677257593382e+17,0.9854,"90,000.00",1,365,True
974875881672838483,6,4.83,5.0,4.67,5.0,4.83,4.83,4.67,Toshima Ku,9.748758816728385e+17,0.4902,"18,302.00",1,365,False
974916784822481296,6,4.5,4.67,5.0,5.0,5.0,4.33,4.33,Shibuya Ku,9.749167848224813e+17,0.6862499999999999,"21,200.00",3,730,False
977314136680274322,10,4.9,4.8,5.0,4.6,5.0,4.8,4.9,Nakano Ku,9.773141366802743e+17,0.5425833333333333,"33,314.00",3,30,True
977392246397236633,13,4.85,5.0,4.92,4.92,4.77,4.77,4.92,Taito Ku,9.773922463972366e+17,0.834275,"13,714.00",1,1125,False
977483002802157700,3,5.0,5.0,5.0,5.0,5.0,4.67,4.67,Ota Ku,9.774830028021577e+17,0.9400333333333334,"33,043.00",2,50,False
977532475201428312,7,4.29,4.71,4.57,4.86,4.86,4.29,4.43,Itabashi Ku,9.775324752014284e+17,0.510425,"26,429.00",2,365,False
974920147922163502,8,4.88,4.63,4.88,5.0,4.75,4.88,4.63,Bunkyo Ku,9.749201479221635e+17,0.54836,"57,600.00",1,365,False
974945404048276691,13,4.62,4.77,4.31,4.92,4.77,4.92,4.92,Shinjuku Ku,9.749454040482767e+17,0.7810428571428571,"10,000.00",2,180,False
974980755420354483,4,4.5,4.5,5.0,4.25,4.75,5.0,4.0,Minato Ku,9.749807554203544e+17,0.5825333333333333,"79,063.00",1,365,False
975048807660465000,12,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Katsushika Ku,9.75048807660465e+17,0.8559125,"82,857.00",3,365,True
